Address;City;Company;Name Full;Phone;Plus4;State;Zip;MD_PlaceCode;MD_LocationType;MD_MelissaAddressKeyBase;MD_Plus4;MD_MelissaAddressKey;MD_TotalSalesEstimate;MD_Phone;MD_NAICSCode1;MD_SICDescription1;MD_CountyName;MD_WebAddress;MD_CensusBlock;MD_Suite;MD_NAICSDescription1;MD_DeliveryIndicator;MD_CensusTract;MD_SICDescription2;MD_SICDescription3;MD_Latitude;MD_StockTicker;MD_PostalCode;MD_SICCode2;MD_SICCode1;MD_SICCode3;MD_PlaceName;MD_Longitude;MD_NAICSDescription3;MD_CountyFIPS;MD_NAICSDescription2;MD_State;MD_AddressLine1;MD_TotalEmployeesEstimate;MD_CompanyName;MD_City;MD_NAICSCode3;MD_NAICSCode2;MD_Results
PO Box 16420                 ;Philadelphia   ;Sherwood Investments          ;Sherwood Tom          ;2156340568;120;PA;19122;60000                                             ;3                                                 ;7155427755                                        ;0120                                              ;2346467824                                        ;660000                                            ;2156340568                                        ;62134007                                          ;PHYSICAL THERAPISTS                               ;Philadelphia                                      ;                                                  ;1008                                              ;                                                  ;OFFICES-PHYSICAL, OCCPTNL/SPEECH THRPSTS/AUDLGSTS ;                                                  ;014100                                            ;INVESTMENT SECURITIES                             ;                                                  ;39.971742                                         ;                                                  ;19122     ;621105                                            ;804918                                            ;                                                  ;Philadelphia                                      ;-75.147763                                        ;                                                  ;42101                                             ;INVESTMENT BANKING & SECURITIES DEALING           ;PA                                                ;PO Box 16420                                      ;15                                                ;Sherwood Investments                              ;Philadelphia                                      ;                                                  ;52311002                                          ;AS01,AS20,FS01,FS02,FS04,FS05,GS06,PS01,PS08,PS11 
933 N Charlotte St # 1A      ;Pottstown      ;Family Services               ;;6103261610;3974;PA;19464;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19464     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;933 N Charlotte St                                ;                                                  ;Family Services                                   ;Pottstown                                         ;                                                  ;                                                  ;AE08,AS02,FE01                                    
2100 Byberry Rd              ;Philadelphia   ;SHIPMEYOURPC.COM              ;;2158213997;3026;PA;19116;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19116     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;2100 Byberry Rd                                   ;                                                  ;Shipmeyourpc.Com                                  ;Philadelphia                                      ;                                                  ;                                                  ;AE09,AS02,FE01                                    
2033 S Chadwick St           ;Philadelphia   ;Usi Towing Transport & Rcvry  ;Di Lemmo Pat          ;2154626232;3018;PA;19145;60000                                             ;3                                                 ;                                                  ;3018                                              ;5121909192                                        ;101000                                            ;2154626232                                        ;48841006                                          ;WRECKER SERVICE                                   ;Philadelphia                                      ;                                                  ;4009                                              ;                                                  ;MOTOR VEHICLE TOWING                              ;                                                  ;003901                                            ;JUNK-DEALERS                                      ;AUTOMOBILE BODY-REPAIRING & PAINTING              ;39.92534                                          ;                                                  ;19145     ;593215                                            ;754901                                            ;753201                                            ;Philadelphia                                      ;-75.17372                                         ;AUTOMOTIVE BODY, PAINT & INTERIOR REPAIR/MAINT    ;42101                                             ;USED MERCHANDISE STORES                           ;PA                                                ;2033 S Chadwick St                                ;1                                                 ;USI Towing Transport & Rcvry                      ;Philadelphia                                      ;81112102                                          ;45331021                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
648 Old Lincoln Hwy          ;Coatesville    ;Pommerer's Collision Ctr      ;Pommerer Fred         ;6103835390;2649;PA;19320;                                                  ;3                                                 ;                                                  ;2649                                              ;7927163476                                        ;342000                                            ;6103835390                                        ;81112102                                          ;AUTOMOBILE BODY-REPAIRING & PAINTING              ;Chester                                           ;                                                  ;1034                                              ;                                                  ;AUTOMOTIVE BODY, PAINT & INTERIOR REPAIR/MAINT    ;                                                  ;305300                                            ;WRECKER SERVICE                                   ;                                                  ;39.98065                                          ;                                                  ;19320     ;754901                                            ;753201                                            ;                                                  ;                                                  ;-75.83879                                         ;                                                  ;42029                                             ;MOTOR VEHICLE TOWING                              ;PA                                                ;648 Old Lincoln Hwy                               ;2                                                 ;Pommerer's Collision Ctr.                         ;Coatesville                                       ;                                                  ;48841006                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
863 Baltimore Pike           ;Glen Mills     ;Santander Bank ATM            ;;6100001111;1057;PA;19342;                                                  ;1                                                 ;                                                  ;1057                                              ;2620539316                                        ;3751000                                           ;6103612822                                        ;44611009                                          ;PHARMACIES                                        ;Delaware                                          ;www.cvs.com                                       ;3030                                              ;                                                  ;PHARMACIES & DRUG STORES                          ;                                                  ;410301                                            ;VARIETY STORES                                    ;VITAMIN & FOOD SUPPLEMENTS                        ;39.885872                                         ;                                                  ;19342     ;533101                                            ;591205                                            ;549904                                            ;                                                  ;-75.528617                                        ;FOOD (HEALTH) SUPPLEMENT STORES                   ;42045                                             ;ALL OTHER GENERAL MERCHANDISE STORES              ;PA                                                ;863 Baltimore Pike                                ;14                                                ;CVS/Pharmacy                                      ;Glen Mills                                        ;44619106                                          ;45299013                                          ;AS01,FS01,FS04,GS05,PS01,PS08,PS11                
6400 Bustleton Ave           ;Philadelphia   ;Atm                           ;;2150001111;;PA;19149;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19149     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;6400 Bustleton Ave                                ;                                                  ;ATM                                               ;Philadelphia                                      ;                                                  ;                                                  ;AE10,FE01                                         
4801 S 48th St               ;Philadelphia   ;Arslan Salon & Spa            ;;2159216723;;PA;19143;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19143     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;4801 S 48th St                                    ;                                                  ;Arslan Salon & Spa                                ;Philadelphia                                      ;                                                  ;                                                  ;AE10,FE01                                         
51 E Lancaster Ave           ;Malvern        ;Service King Collision Repair ;Strohecker Bill       ;6107222668;3002;PA;19355;                                                  ;1                                                 ;                                                  ;3002                                              ;3519126307                                        ;1709000                                           ;6107222668                                        ;81112102                                          ;AUTOMOBILE BODY-REPAIRING & PAINTING              ;Chester                                           ;                                                  ;1000                                              ;                                                  ;AUTOMOTIVE BODY, PAINT & INTERIOR REPAIR/MAINT    ;                                                  ;302102                                            ;                                                  ;                                                  ;40.04361                                          ;                                                  ;19355     ;                                                  ;753201                                            ;                                                  ;                                                  ;-75.516425                                        ;                                                  ;42029                                             ;                                                  ;PA                                                ;51 E Lancaster Ave                                ;10                                                ;Service King Collision Repair                     ;Malvern                                           ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS06,PS01,PS08,PS11      
225 Washington St # 300      ;Conshohocken   ;Sun Gard                      ;Dennelly Jim          ;4845304400;4122;PA;19428;15848                                             ;1                                                 ;4234541548                                        ;4122                                              ;3474373804                                        ;33317000                                          ;4845304400                                        ;51821008                                          ;DATA PROCESSING SERVICE                           ;Montgomery                                        ;www.financialsystems.sungard.com                  ;1049                                              ;Ste 300                                           ;DATA PROCESSING, HOSTING & RELATED SERVICES       ;                                                  ;204102                                            ;                                                  ;COMPUTER SOFTWARE                                 ;40.07088                                          ;                                                  ;19428     ;737206                                            ;737401                                            ;573401                                            ;Conshohocken                                      ;-75.3027                                          ;                                                  ;42091                                             ;                                                  ;PA                                                ;225 Washington St                                 ;175                                               ;Sun GARD                                          ;Conshohocken                                      ;                                                  ;51121005                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS02,PS08           
